title,release_date,release_year,worldwide_box_office,split
Falling in Love,1984-11-21,1984,11129057.0,train
Gwendoline,1985-01-25,1984,1337274.0,train
Breakin',1984-05-04,1984,38682707.0,train
Birdy,1984-12-21,1984,1455045.0,train
The Company of Wolves,1985-04-19,1984,4389334.0,train
Electric Dreams,1984-07-20,1984,2193612.0,train
Racing with the Moon,1984-03-23,1984,6045647.0,train
"Silent Night, Deadly Night",1984-11-09,1984,2491460.0,train
The Pope of Greenwich Village,1984-06-22,1984,6836201.0,train
All of Me,1984-09-21,1984,36403064.0,train
"Grandview, U.S.A.",1984-08-03,1984,4743119.0,train
Where the Boys Are,1984-04-06,1984,10530000.0,train
Reckless,1984-02-03,1984,8289916.0,train
Tightrope,1984-08-17,1984,48143579.0,train
Rhinestone,1984-06-22,1984,21435321.0,train
The Flamingo Kid,1984-12-21,1984,23859382.0,train
Up the Creek,1984-04-06,1984,11708269.0,train
Swing Shift,1984-04-13,1984,6650206.0,train
Beat Street,1984-06-08,1984,16595791.0,train
Joy of Sex,1984-08-03,1984,4463841.0,train
Breakin' 2: Electric Boogaloo,1984-12-21,1984,15101131.0,train
The Razor's Edge,1984-10-19,1984,6551987.0,train
Tank,1984-03-16,1984,11302884.0,train
Moscow on the Hudson,1984-04-06,1984,25068724.0,train
Ninja III: The Domination,1984-09-14,1984,7610785.0,train
The Warrior and the Sorceress,1984-09-07,1984,2886225.0,train
The Evil That Men Do,1984-09-21,1984,13102025.0,train
Firstborn,1984-10-26,1984,6250994.0,train
